id,smiles
98,Cn1nc(C(=O)NCC2Cc3ccccc3CN2)c2ccccc21
99,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21
100,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21
103,COc1ccccc1NC(=O)Nc1cccnc1
104,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21
105,Cn1nc(C(=O)NCc2c[nH]cn2)c2ccccc21
106,Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1
107,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1
108,COCC(C)NC(=O)c1nn(C)c2ccccc12
109,Cn1nc(C(=O)NC2CC2CO)c2ccccc21
110,Cn1nc(C(=O)NC2CCOC2)c2ccccc21
111,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21
113,Cn1cc2c(CC(=O)N3CCCC(C(N)=O)C3)cccc2n1
125,COc1ccncc1CC(=O)N1CCCC(C(N)=O)C1
122391,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1
122392,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12
122393,O=C(NCCc1cocn1)N1CCc2ccccc21
122394,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1
122396,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12
122397,NC(=O)C1CCCN(C(=O)NCC2CC2)C1
122398,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O
122399,O=C(NCCc1cocn1)c1ccccc1
122400,Cn1ncc(C(=O)NCCc2cocn2)n1
122401,N#Cc1sccc1CC(=O)N1CCCC(C(N)=O)C1
122402,N#CCc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1
122403,COCc1ccccc1NC(=O)N1CCCC(C(N)=O)C1
122404,COc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1
122406,Cc1nc2n(c1CC(=O)N1CCCC(C(N)=O)C1)CCCC2
122444,N#Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1
122445,Cc1ccccc1NC(=O)N1CCCC(C(N)=O)C1
122447,COc1ccc(F)cc1CC(=O)N1CCCC(C(N)=O)C1
122448,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C
122449,Cn1cc2c(CC(=O)N3CCC(C(N)=O)C3)cccc2n1
122450,COc1ccc(CC(=O)N2CCCC(C(N)=O)C2)c(OC)c1
122451,Cc1ccccc1NC(=O)c1cncc(C(N)=O)c1
122452,Cc1ccc2c(C(=O)NCCc3cocn3)c[nH]c2c1
122453,COc1c(C#N)cccc1CC(=O)N1CCCC(C(N)=O)C1
122455,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1
122456,Cc1cc(NC(=O)N2CCCC(C(N)=O)C2)c2cnn(C)c2c1
122457,COc1cccc(Cl)c1NC(=O)N1CCCC(C(N)=O)C1
122458,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCCC(C(N)=O)C1
122460,Cc1ccccc1CNC(=O)N1CCCC(C(N)=O)C1
122461,CCNC(=O)c1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1
122462,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1
122463,COc1ccccc1CC(=O)N1CCOC(C(N)=O)C1
122464,COc1ccccc1CC(=O)N1CC(C(N)=O)CC(F)(F)C1
122465,COc1ccccc1CC(=O)N1CCC(NC(N)=O)C1
122466,COc1ccccc1CC(=O)N1CCC(CC(N)=O)C1
122467,COc1ncccc1CC(=O)N1CCCC(C(N)=O)C1
122468,COc1cccc(Cl)c1CC(=O)N1CCCC(C(N)=O)C1
122469,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1
122470,COc1ccccc1N(C)C(=O)N1CCCC(C(N)=O)C1
122471,COc1ccccc1C(OC)C(=O)N1CCCC(C(N)=O)C1
122472,COc1ccccc1C(NC(=O)OC(C)(C)C)C(=O)N1CCCC(C(N)=O)C1
122473,COc1ccccc1C(N)C(=O)N1CCCC(C(N)=O)C1
122475,COc1ccccc1CC(=O)N1CCNC(C(N)=O)C1
122476,COCC1(C(=O)N2CCCC(C(N)=O)C2)CCCCO1
122478,NC(=O)C1CCCN(C(=O)Cc2cccnc2N)C1
122479,COc1ccccc1CC(=O)N(C)CCC(N)=O
122480,NC(=O)C1CCCN(C(=O)C(c2ccccc2)c2ccccc2)C1
122481,NC(=O)C1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1
122482,COc1cccc(Cl)c1NC(=O)N1CCC(C(N)=O)C1
122483,COc1ccccc1NC(=O)N1CCCC(C(N)=O)C1
122484,Cn1ncc2c(NC(=O)N3CCCC(C(N)=O)C3)cccc21
122485,COc1ccccc1CC(=O)N1CCCC(C(N)=O)CC1
122486,Cc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1
122487,COc1ncccc1NC(=O)N1CCCC(C(N)=O)C1
122488,COc1cccnc1CN1CCCC(C(N)=O)C1
122489,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1
122490,CSc1c(Br)cccc1CC(=O)N1CCCC(C(N)=O)C1
122491,COc1cccc(NC(=O)N2CCCC(C(N)=O)C2)n1
122492,CC(C)Oc1ccccc1NC(=O)N1CCCC(C(N)=O)C1
122495,COc1ccccc1CC(=O)N1CC(C(N)=O)CC12CC2
122496,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1
122549,CC1(C(=O)N2CCCC(C(N)=O)C2)CCCCO1
122550,COc1ccc(Cl)cc1CC(=O)N1CCCC(C(N)=O)C1
122551,COc1ccccc1CC(=O)N1CC(C(N)=O)C(C(F)(F)F)C1
122552,COc1ccc(C(F)(F)F)cc1CC(=O)N1CCCC(C(N)=O)C1
122553,NC(=O)C1CCCN(C(=O)C2CCc3cccc(Br)c32)C1
122554,COc1cc(Cl)ccc1CC(=O)N1CCCC(C(N)=O)C1
122555,COc1ccccc1C(NC(C)=O)C(=O)N1CCCC(C(N)=O)C1
122556,NC(=O)C1CCCN(C(=O)C(Cc2ccc(F)cc2)c2ccccc2)C1
122557,NC(=O)C1CCCN(C(=O)C2CCOc3ccc(Cl)cc32)C1
122558,Cc1cc(C)c(CC(=O)N2CCCC(C(N)=O)C2)c(=O)[nH]1
122559,NC(=O)C1CCCN(C(=O)Cc2cnccc2C(F)(F)F)C1
122560,COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCCC(C(N)=O)C1
122561,NC(=O)C1CCCN(C(=O)Nc2ccccc2OCC(F)(F)F)C1
122562,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCCC(C(N)=O)C2)c1
122563,NC(=O)C1CCCN(C(=O)Cc2ccccc2OC(F)F)C1
122564,N#CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1
122566,CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1
122567,Cc1ncccc1CC(=O)N1CCCC(C(N)=O)C1
122568,CSc1cccc(CC(=O)N2CCCC(C(N)=O)C2)c1
122569,NC(=O)C1CCCN(C(=O)Cc2cccc(Cl)c2Cl)C1
122570,NC(=O)C1CCCN(C(=O)Cc2cccc3c2OCCO3)C1
122571,NC(=O)C1CCCN(C(=O)Cc2cccnc2O)C1
122572,NC(=O)C1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2C(F)(F)F)C1
