target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3
C76252,1,,,,NCC(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,NCC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,,,,,,,,,,,,,
C73,1,,,,COCC(=O)O,NC(=O)C1CCCNC1,COCC(=O)N1CCCC(C(N)=O)C1,Amidation,,,,,,,,,,,,,,
C91,1,,,,O=C(O)CCl,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CCl)c1ccc2ccccc2c1,Amidation,,,,,,,,,,,,,,
C92,1,,,,CC(CC(=O)O)C(F)(F)F,COc1cc(N)n(C)n1,COc1cc(NC(=O)CC(C)C(F)(F)F)n(C)n1,Amidation,,,,,,,,,,,,,,
C93,1,,,,CCI,CCC(=O)c1ccc(O)cc1,CCOc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C72824,1,,,,CC(C)(F)CI,O=C(CCl)c1ccc(O)cc1O,CC(C)(F)COc1cc(O)ccc1C(=O)CCl,Williamson_ether_synthesis,,,,,,,,,,,,,,
C72825,1,,,,CC(C)(F)CI,O=C(CCl)c1ccc(O)cc1O,CC(C)(F)COc1ccc(C(=O)CCl)c(O)c1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C76254,1,,,,C=C(Cl)C(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,C=C(Cl)C(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,,,,,,,,,,,,,
C82242,1,,,,CC(=O)c1ccc(O)cc1,CC(C)Br,CC(=O)c1ccc(OC(C)C)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C85686,1,,,,FC(F)(F)CI,NCC(=O)c1ccc(O)cc1,NCC(=O)c1ccc(OCC(F)(F)F)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C99846,1,,,,N#CCC(=O)O,Nc1ccc(C=O)cc1,N#CCC(=O)Nc1ccc(C=O)cc1,Amidation,,,,,,,,,,,,,,
C100370,1,,,,N#CCC(=O)O,NC(=O)c1ccc(N)cc1,N#CCC(=O)Nc1ccc(C(N)=O)cc1,Amidation,,,,,,,,,,,,,,
C65475,1,,,,CC(C)C(=O)c1ccc(O)cc1,CC(O)CI,CC(O)COc1ccc(C(=O)C(C)C)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C139,1,,,,NCC(=O)O,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CN)c1ccc2ccccc2c1,Amidation,,,,,,,,,,,,,,
C76267,1,,,,N#CCC(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,N#CCC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,,,,,,,,,,,,,
C99852,1,,,,O=C(O)C(Cl)Cl,Nc1ccc(C=O)cc1,O=Cc1ccc(NC(=O)C(Cl)Cl)cc1,Amidation,,,,,,,,,,,,,,
C76270,1,,,,COCC(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,COCC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,,,,,,,,,,,,,
C59382,1,,,,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,N#CCC1CC(N)C1,CC(C)(C)C(=O)Nc1ccc(C(=O)NC2CC(CC#N)C2)cn1,Amidation,,,,,,,,,,,,,,
C70829,1,,,,CC(C)C(=O)c1ccc(O)cc1,FC(F)(F)CI,CC(C)C(=O)c1ccc(OCC(F)(F)F)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C82236,1,,,,CCI,NCC(=O)c1ccc(O)cc1,CCOc1ccc(C(=O)CN)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C29114,1,,,,CN1CCN(c2ccc(N)nc2)CC1=O,CCSc1cccc(C(=O)O)c1,CCSc1cccc(C(O)Nc2ccc(N3CCN(C)C(=O)C3)cn2)c1,Reductive_amination,,,,,,,,,,,,,,
C46759,1,,,,NNC(=O)c1ccc(N)cn1,CCC(C)(C#N)C(=O)O,CCC(C)(C#N)C(=O)NNC(=O)c1ccc(N)cn1,Amidation,,,,,,,,,,,,,,
C171,1,,,,N#CCC(=O)O,NC(=O)c1ccc(N)cn1,N#CCC(=O)Nc1ccc(C(N)=O)nc1,Amidation,,,,,,,,,,,,,,
C181,1,,,,Cc1ccc(C=O)cc1C,Nc1ccc(N2CCNC(=O)C2)cn1,Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,Reductive_amination,,,,,,,,,,,,,,
C182,1,,,,O=C(O)C1CCNC1=O,c1ccc(CNC2CCCNC2)cc1,O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,Amidation,,,,,,,,,,,,,,
C183,1,,,,O=C1NCCN1c1ccc(Br)cc1,NCc1ccc(C(F)(F)F)cc1,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C184,1,,,,O=C1NCCN1c1ccc(Br)cc1,NCc1cccc(F)c1,O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C185,1,,,,Nc1ccc(N2CCNC(=O)C2)cn1,CSc1cccc(C=O)c1,CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,Reductive_amination,,,,,,,,,,,,,,
C186,1,,,,Cn1nc(C2CCOCC2)cc1C(=O)O,O=C1CC(CO)CN1,Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,Steglich_esterification,,,,,,,,,,,,,,
C187,1,,,,NCc1ccc(C(=O)O)cc1,Nc1c[nH]c2ccccc12,NCc1ccc(C(=O)Nc2c[nH]c3ccccc23)cc1,Amidation,,,,,,,,,,,,,,
C191,1,,,,COc1cncc(CCC(=O)O)c1,NC1CCNC1=O,COc1cncc(CCC(=O)NC2CCNC2=O)c1,Amidation,,,,,,,,,,,,,,
C192,1,,,,O=C(O)c1ccncc1F,O=C1NCCCC1CO,O=C(OCC1CCCNC1=O)c1ccncc1F,Steglich_esterification,,,,,,,,,,,,,,
C194,1,,,,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,CCC1CC(N)C1,CCC1CC(NC(=O)c2ccc(NC(=O)C(C)(C)C)nc2)C1,Amidation,,,,,,,,,,,,,,
C195,1,,,,N#CCC(=O)O,CCOC(=O)c1cc(N)n(C)n1,CCOC(=O)c1cc(NC(=O)CC#N)n(C)n1,Amidation,,,,,,,,,,,,,,
C196,1,,,,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,NC1(C(F)F)CCC1,CC(C)(C)C(=O)Nc1ccc(C(=O)NC2(C(F)F)CCC2)cn1,Amidation,,,,,,,,,,,,,,
C197,1,,,,N#CCC1CC(N)C1,CCCC(=O)NC1CCNCC1,CCCC(=O)NC1CCN(C(=O)NC2CC(CC#N)C2)CC1,Formation_of_urea_from_two_amines,,,,,,,,,,,,,,
C198,1,,,,O=C(O)C12CCC(CO1)C2,NC(=O)c1cc(N)[nH]n1,NC(=O)c1cc(NC(=O)C23CCC(CO2)C3)[nH]n1,Amidation,,,,,,,,,,,,,,
C199,1,,,,O=C(O)c1cc2ccsc2[nH]1,NC1CC(C(F)(F)F)C1,O=C(NC1CC(C(F)(F)F)C1)c1cc2ccsc2[nH]1,Amidation,,,,,,,,,,,,,,
C62235,1,,,,O=C(O)CC(C(=O)O)C(F)(F)F,COC(=O)c1c(OCCO)nn(C)c1N,COC(=O)c1c(OCCO)nn(C)c1NC(=O)CC(C(=O)O)C(F)(F)F,Amidation,,,,,,,,,,,,,,
C204,1,,,,Nc1ccccc1CS(N)(=O)=O,CC1(N)CCC1,CC1(NC(=O)Nc2ccccc2CS(N)(=O)=O)CCC1,Formation_of_urea_from_two_amines,,,,,,,,,,,,,,
C62236,1,,,,O=C(O)CC(C(=O)O)C(F)(F)F,COC(=O)c1c(OCCO)nn(C)c1N,COC(=O)c1c(OCCO)nn(C)c1NC(=O)C(CC(=O)O)C(F)(F)F,Amidation,,,,,,,,,,,,,,
C211,1,,,,O=Cc1cccc(F)c1,Nc1ccc(N2CCCC2=O)cn1,O=C1CCCN1c1ccc(NCc2cccc(F)c2)nc1,Reductive_amination,,,,,,,,,,,,,,
C71913,1,,,,CC(C)(F)CI,O=C(CCl)c1ccc(O)cc1,CC(C)(F)COc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C236,1,,,,CCI,O=C(CCl)c1ccc(O)cc1,CCOc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C240,1,,,,CCI,CC(=O)c1ccc(O)cc1,CCOc1ccc(C(C)=O)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C242,1,,,,CC(=O)O,CC(=O)c1ccc(N)cc1,CC(=O)Nc1ccc(C(C)=O)cc1,Amidation,,,,,,,,,,,,,,
C243,1,,,,CC(=O)O,Nc1ccc(C=O)cc1,CC(=O)Nc1ccc(C=O)cc1,Amidation,,,,,,,,,,,,,,
C20845,1,,,,NCc1ccc(C(F)(F)F)cc1,O=C1NC(=O)N(c2ccc(Br)cc2)C1=O,O=C1NC(=O)N(c2ccc(NCc3ccc(C(F)(F)F)cc3)cc2)C1=O,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C76320,1,,,,O=C(O)C1CC1F,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,O=C1Cc2cc(C(=O)C3CCN(C(=O)C4CC4F)CC3)ccc2N1,Amidation,,,,,,,,,,,,,,
C99909,1,,,,O=C(O)CO,NC(=O)c1ccc(N)cc1,NC(=O)c1ccc(NC(=O)CO)cc1,Amidation,,,,,,,,,,,,,,
C93664,1,,,,O=C(O)C1CC1F,CC(=O)c1ccc(N)cc1,CC(=O)c1ccc(NC(=O)C2CC2F)cc1,Amidation,,,,,,,,,,,,,,
C100436,1,,,,O=C(O)C(Cl)Cl,NC(=O)c1ccc(N)cc1,NC(=O)c1ccc(NC(=O)C(Cl)Cl)cc1,Amidation,,,,,,,,,,,,,,
C20859,1,,,,O=C1CN(c2ccc(Br)cc2)C(=O)N1,NCc1ccc(C(F)(F)F)cc1F,O=C1CN(c2ccc(NCc3ccc(C(F)(F)F)cc3F)cc2)C(=O)N1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C25972,1,,,,O=C1CN(c2ccc(Br)cc2)C(=O)N1,NCc1cccc(F)c1,O=C1CN(c2ccc(NCc3cccc(F)c3)cc2)C(=O)N1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C19136,1,,,,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,COC(C)C(N)C(=O)O,COC(C)C(N)C(=O)NCC(NC(=O)Cc1c(C)nn(C)c1C)c1ccc2ccccc2c1,Amidation,,,,,,,,,,,,,,
C28087,1,,,,CN1CCN(c2ccc(N)nc2)CC1=O,CSc1cccc(C=O)c1,CSc1cccc(CNc2ccc(N3CCN(C)C(=O)C3)cn2)c1,Reductive_amination,,,,,,,,,,,,,,
C68909,1,,,,CC(C)C(=O)c1ccc(O)cc1,CCC(N)CI,CCC(N)COc1ccc(C(=O)C(C)C)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C71413,1,,,,CC(C)C(=O)c1ccc(O)cc1,CC(C)(F)CI,CC(C)C(=O)c1ccc(OCC(C)(C)F)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C30785,1,,,,Cn1nc(C2CCOCC2)cc1C(=O)O,CC(C)N1CC(CO)CC1=O,CC(C)N1CC(COC(=O)c2cc(C3CCOCC3)nn2C)CC1=O,Steglich_esterification,,,,,,,,,,,,,,
C26013,1,,,,O=C1NCCN1c1ccc(Br)cc1,NCc1ccc(Cl)c(F)c1,O=C1NCCN1c1ccc(NCc2ccc(Cl)c(F)c2)cc1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C46828,1,,,,NNC(=O)c1ccc(N)cn1,CCC(C)(C#N)C(=O)O,CCC(C)(C#N)C(=O)Nc1ccc(C(=O)NN)nc1,Amidation,,,,,,,,,,,,,,
C100469,1,,,,C=C(Cl)C(=O)O,NC(=O)c1ccc(N)cc1,C=C(Cl)C(=O)Nc1ccc(C(N)=O)cc1,Amidation,,,,,,,,,,,,,,
C100471,1,,,,COCC(=O)O,NC(=O)c1ccc(N)cc1,COCC(=O)Nc1ccc(C(N)=O)cc1,Amidation,,,,,,,,,,,,,,
C46838,1,,,,NNC(=O)c1ccc(N)cn1,CCCC(C#N)C(=O)O,CCCC(C#N)C(=O)Nc1ccc(C(=O)NN)nc1,Amidation,,,,,,,,,,,,,,
C43505,1,,,,O=C1NCCCC1CO,O=C(O)c1ccnc(I)c1F,O=C(OCC1CCCNC1=O)c1ccnc(I)c1F,Steglich_esterification,,,,,,,,,,,,,,
C71981,1,,,,CCC(N)CI,O=C(CCl)c1ccc(O)cc1,CCC(N)COc1ccc(C(=O)CCl)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C42388,1,,,,COc1cncc(CCC(=O)O)c1,CN1C(=O)CC(N)C1=O,COc1cncc(CCC(=O)NC2CC(=O)N(C)C2=O)c1,Amidation,,,,,,,,,,,,,,
C64559,1,,,,CCI,CC(C)C(=O)c1ccc(O)cc1,CCOc1ccc(C(=O)C(C)C)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C20260,1,,,,O=C(NC1CCCNC1)c1ccccc1,CC1(C(=O)O)CCNC1=O,CC1(C(=O)N2CCCC(NC(=O)c3ccccc3)C2)CCNC1=O,Amidation,,,,,,,,,,,,,,
C19324,1,,,,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,NC(C(=O)O)C1CCOC1,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)C(N)C1CCOC1)c1ccc2ccccc2c1,Amidation,,,,,,,,,,,,,,
C82667,1,,,,NCC(=O)c1ccc(O)cc1,CC(C)Br,CC(C)Oc1ccc(C(=O)CN)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C35009,1,,,,Nc1c[nH]c2ccccc12,NC(=NO)c1ccc(C(=O)O)cc1,NC(=NO)c1ccc(C(=O)Nc2c[nH]c3ccccc23)cc1,Amidation,,,,,,,,,,,,,,
C77014,1,,,,NC1(C(F)F)CCC1,Nc1ccccc1CS(N)(=O)=O,NS(=O)(=O)Cc1ccccc1NC(=O)NC1(C(F)F)CCC1,Formation_of_urea_from_two_amines,,,,,,,,,,,,,,
C26048,1,,,,O=C1NC(=O)N(c2ccc(Br)cc2)C1=O,NCc1cccc(F)c1,O=C1NC(=O)N(c2ccc(NCc3cccc(F)c3)cc2)C1=O,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C85311,1,,,,CCC(N)CI,NCC(=O)c1ccc(O)cc1,CCC(N)COc1ccc(C(=O)CN)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C83082,1,,,,CC(C)(F)CI,CC(=O)c1ccc(O)cc1,CC(=O)c1ccc(OCC(C)(C)F)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C24075,3,,,,O=C(O)CCl,c1cncc(C2CNCCN2)c1,O=C(CCl)N1CCNC(c2cccnc2)C1,Amidation,,,O=C(CCl)N1CCNC(c2cccnc2)C1,O=C(O)Cc1cncc(Cl)c1,O=C(CCl)N1CCN(C(=O)Cc2cncc(Cl)c2)C(c2cccnc2)C1,Amidation,,,NC(=O)CO,O=C(CCl)N1CCN(C(=O)Cc2cncc(Cl)c2)C(c2cccnc2)C1,O=C(CO)Nc1cncc(CC(=O)N2CCN(C(=O)CCl)CC2c2cccnc2)c1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,
C76410,1,,,,COC(C)C(N)C(=O)O,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,COC(C)C(N)C(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,Amidation,,,,,,,,,,,,,,
C28177,1,,,,Nc1ccc(N2CCNC(=O)C2)cn1,CCSc1cccc(C(=O)O)c1,CCSc1cccc(C(O)Nc2ccc(N3CCNC(=O)C3)cn2)c1,Reductive_amination,,,,,,,,,,,,,,
C64614,1,,,,CCC(=O)c1ccc(O)cc1,C=CCBr,C=CCOc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C64615,1,,,,O=C1CCc2cc(O)ccc21,C=CCBr,C=CCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C93206,1,,,,NCC(=O)O,CC(=O)c1ccc(N)cc1,CC(=O)c1ccc(NC(=O)CN)cc1,Amidation,,,,,,,,,,,,,,
