scaffold_id,product_id,smiles,inchikey,num_elaborations,is_scaffold,num_routes,route_1_num_steps,route_1_reaction_1_type,route_1_reaction_1_product_smiles,route_1_reaction_1_product_id,route_1_reaction_1_product_yield,route_1_reaction_1_reactant_1_smiles,route_1_reaction_1_reactant_1_id,route_1_reaction_1_reactant_2_smiles,route_1_reaction_1_reactant_2_id,route_1_reaction_2_type,route_1_reaction_2_product_smiles,route_1_reaction_2_product_id,route_1_reaction_2_product_yield,route_1_reaction_2_reactant_1_smiles,route_1_reaction_2_reactant_1_id,route_1_reaction_2_reactant_2_smiles,route_1_reaction_2_reactant_2_id,route_1_reaction_3_type,route_1_reaction_3_product_smiles,route_1_reaction_3_product_id,route_1_reaction_3_product_yield,route_1_reaction_3_reactant_1_smiles,route_1_reaction_3_reactant_1_id,route_1_reaction_3_reactant_2_smiles,route_1_reaction_3_reactant_2_id
73,73,COCC(=O)N1CCCC(C(N)=O)C1,VINVRWFILPAKSR-UHFFFAOYSA-N,5,True,1,1,Amidation,COCC(=O)N1CCCC(C(N)=O)C1,73,1.0,COCC(=O)O,62340,NC(=O)C1CCCNC1,62341,,,,,,,,,,,,,,,,
91,91,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CCl)c1ccc2ccccc2c1,BKBFLODZEQEWBQ-UHFFFAOYSA-N,2,True,1,1,Amidation,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CCl)c1ccc2ccccc2c1,91,1.0,O=C(O)CCl,253,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,18682,,,,,,,,,,,,,,,,
92,92,COc1cc(NC(=O)CC(C)C(F)(F)F)n(C)n1,NZVJBVJDSSUPIL-UHFFFAOYSA-N,2,True,1,1,Amidation,COc1cc(NC(=O)CC(C)C(F)(F)F)n(C)n1,92,1.0,CC(CC(=O)O)C(F)(F)F,61981,COc1cc(N)n(C)n1,61982,,,,,,,,,,,,,,,,
93,93,CCOc1ccc(C(=O)CC)cc1,XZJXCESWBMDSBO-UHFFFAOYSA-N,45,True,1,1,Williamson_ether_synthesis,CCOc1ccc(C(=O)CC)cc1,93,1.0,CCI,64552,CCC(=O)c1ccc(O)cc1,64553,,,,,,,,,,,,,,,,
139,139,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CN)c1ccc2ccccc2c1,DQWUNIXDDNPLQU-UHFFFAOYSA-N,4,True,1,1,Amidation,Cc1nn(C)c(C)c1CC(=O)NC(CNC(=O)CN)c1ccc2ccccc2c1,139,1.0,NCC(=O)O,18681,Cc1nn(C)c(C)c1CC(=O)NC(CN)c1ccc2ccccc2c1,18682,,,,,,,,,,,,,,,,
171,171,N#CCC(=O)Nc1ccc(C(N)=O)nc1,YOZGXEFFSUYIHZ-UHFFFAOYSA-N,12,True,1,1,Amidation,N#CCC(=O)Nc1ccc(C(N)=O)nc1,171,1.0,N#CCC(=O)O,45398,NC(=O)c1ccc(N)cn1,45399,,,,,,,,,,,,,,,,
181,181,Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,AOLHRJZGGWAHNY-UHFFFAOYSA-N,5,True,1,1,Reductive_amination,Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,181,1.0,Cc1ccc(C=O)cc1C,15992,Nc1ccc(N2CCNC(=O)C2)cn1,15993,,,,,,,,,,,,,,,,
182,182,O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,HOWRLYKLFLMWBY-UHFFFAOYSA-N,3,True,1,1,Amidation,O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,182,1.0,O=C(O)C1CCNC1=O,19836,c1ccc(CNC2CCCNC2)cc1,19837,,,,,,,,,,,,,,,,
183,183,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,ZGAPODHVEGIIKR-UHFFFAOYSA-N,4,True,1,1,Buchwald-Hartwig_amination,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,183,0.1,O=C1NCCN1c1ccc(Br)cc1,20503,NCc1ccc(C(F)(F)F)cc1,20504,,,,,,,,,,,,,,,,
184,184,O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,KKHICEOOLIHEJQ-UHFFFAOYSA-N,5,True,1,1,Buchwald-Hartwig_amination,O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,184,0.1,O=C1NCCN1c1ccc(Br)cc1,20503,NCc1cccc(F)c1,25969,,,,,,,,,,,,,,,,
185,185,CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,AKBIFIUVGFTRED-UHFFFAOYSA-N,3,True,1,1,Reductive_amination,CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,185,1.0,Nc1ccc(N2CCNC(=O)C2)cn1,15993,CSc1cccc(C=O)c1,28003,,,,,,,,,,,,,,,,
186,186,Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,VGTICCPOHXQQKL-UHFFFAOYSA-N,2,True,1,1,Steglich_esterification,Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,186,0.1,Cn1nc(C2CCOCC2)cc1C(=O)O,30521,O=C1CC(CO)CN1,30522,,,,,,,,,,,,,,,,
187,187,NCc1ccc(C(=O)Nc2c[nH]c3ccccc23)cc1,XTQDUNSPBPDCKJ-UHFFFAOYSA-N,8,True,1,1,Amidation,NCc1ccc(C(=O)Nc2c[nH]c3ccccc23)cc1,187,1.0,NCc1ccc(C(=O)O)cc1,34852,Nc1c[nH]c2ccccc12,34853,,,,,,,,,,,,,,,,
191,191,COc1cncc(CCC(=O)NC2CCNC2=O)c1,UMHURAQUKMFEOS-UHFFFAOYSA-N,2,True,1,1,Amidation,COc1cncc(CCC(=O)NC2CCNC2=O)c1,191,1.0,COc1cncc(CCC(=O)O)c1,42009,NC1CCNC1=O,42010,,,,,,,,,,,,,,,,
192,192,O=C(OCC1CCCNC1=O)c1ccncc1F,NKHJVGNWKQVXFO-UHFFFAOYSA-N,2,True,1,1,Steglich_esterification,O=C(OCC1CCCNC1=O)c1ccncc1F,192,0.1,O=C(O)c1ccncc1F,43441,O=C1NCCCC1CO,43442,,,,,,,,,,,,,,,,
194,194,CCC1CC(NC(=O)c2ccc(NC(=O)C(C)(C)C)nc2)C1,MEWGRUZWHVKYDS-UHFFFAOYSA-N,3,True,1,1,Amidation,CCC1CC(NC(=O)c2ccc(NC(=O)C(C)(C)C)nc2)C1,194,1.0,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,52450,CCC1CC(N)C1,59145,,,,,,,,,,,,,,,,
195,195,CCOC(=O)c1cc(NC(=O)CC#N)n(C)n1,AJVIKZPIPBHAKY-UHFFFAOYSA-N,9,True,1,1,Amidation,CCOC(=O)c1cc(NC(=O)CC#N)n(C)n1,195,1.0,N#CCC(=O)O,45398,CCOC(=O)c1cc(N)n(C)n1,49345,,,,,,,,,,,,,,,,
196,196,CC(C)(C)C(=O)Nc1ccc(C(=O)NC2(C(F)F)CCC2)cn1,FLWASAJBVPBCFC-UHFFFAOYSA-N,2,True,1,1,Amidation,CC(C)(C)C(=O)Nc1ccc(C(=O)NC2(C(F)F)CCC2)cn1,196,1.0,CC(C)(C)C(=O)Nc1ccc(C(=O)O)cn1,52450,NC1(C(F)F)CCC1,52451,,,,,,,,,,,,,,,,
197,197,CCCC(=O)NC1CCN(C(=O)NC2CC(CC#N)C2)CC1,ADKGLDCQLGUTAN-UHFFFAOYSA-N,1,True,1,1,Formation_of_urea_from_two_amines,CCCC(=O)NC1CCN(C(=O)NC2CC(CC#N)C2)CC1,197,1.0,N#CCC1CC(N)C1,59381,CCCC(=O)NC1CCNCC1,60731,,,,,,,,,,,,,,,,
198,198,NC(=O)c1cc(NC(=O)C23CCC(CO2)C3)[nH]n1,IXJHDOWQFHNIPX-UHFFFAOYSA-N,1,True,1,1,Amidation,NC(=O)c1cc(NC(=O)C23CCC(CO2)C3)[nH]n1,198,1.0,O=C(O)C12CCC(CO1)C2,113535,NC(=O)c1cc(N)[nH]n1,113536,,,,,,,,,,,,,,,,
199,199,O=C(NC1CC(C(F)(F)F)C1)c1cc2ccsc2[nH]1,VKQJXGLAYUFNNG-UHFFFAOYSA-N,3,True,1,1,Amidation,O=C(NC1CC(C(F)(F)F)C1)c1cc2ccsc2[nH]1,199,1.0,O=C(O)c1cc2ccsc2[nH]1,108217,NC1CC(C(F)(F)F)C1,108218,,,,,,,,,,,,,,,,
204,204,CC1(NC(=O)Nc2ccccc2CS(N)(=O)=O)CCC1,QCDPODCBNROZRQ-UHFFFAOYSA-N,2,True,1,1,Formation_of_urea_from_two_amines,CC1(NC(=O)Nc2ccccc2CS(N)(=O)=O)CCC1,204,1.0,Nc1ccccc1CS(N)(=O)=O,76421,CC1(N)CCC1,76422,,,,,,,,,,,,,,,,
211,211,O=C1CCCN1c1ccc(NCc2cccc(F)c2)nc1,LOFPJTBPHYUPTQ-UHFFFAOYSA-N,1,True,1,1,Reductive_amination,O=C1CCCN1c1ccc(NCc2cccc(F)c2)nc1,211,1.0,O=Cc1cccc(F)c1,116906,Nc1ccc(N2CCCC2=O)cn1,116907,,,,,,,,,,,,,,,,
236,236,CCOc1ccc(C(=O)CCl)cc1,ZYLJLWLQPBRDLN-UHFFFAOYSA-N,46,True,1,1,Williamson_ether_synthesis,CCOc1ccc(C(=O)CCl)cc1,236,1.0,CCI,64552,O=C(CCl)c1ccc(O)cc1,71708,,,,,,,,,,,,,,,,
240,240,CCOc1ccc(C(C)=O)cc1,YJFNFQHMQJCPRG-UHFFFAOYSA-N,132,True,1,1,Williamson_ether_synthesis,CCOc1ccc(C(C)=O)cc1,240,1.0,CCI,64552,CC(=O)c1ccc(O)cc1,82226,,,,,,,,,,,,,,,,
242,242,CC(=O)Nc1ccc(C(C)=O)cc1,WECHHDJTILFYQT-UHFFFAOYSA-N,35,True,1,1,Amidation,CC(=O)Nc1ccc(C(C)=O)cc1,242,1.0,CC(=O)O,71591,CC(=O)c1ccc(N)cc1,93187,,,,,,,,,,,,,,,,
243,243,CC(=O)Nc1ccc(C=O)cc1,SKLUWKYNZNXSLX-UHFFFAOYSA-N,56,True,1,1,Amidation,CC(=O)Nc1ccc(C=O)cc1,243,1.0,CC(=O)O,71591,Nc1ccc(C=O)cc1,99613,,,,,,,,,,,,,,,,
143,24075,O=C(CO)Nc1cncc(CC(=O)N2CCN(C(=O)CCl)CC2c2cccnc2)c1,JIJOMFDCBOAKLL-UHFFFAOYSA-N,4,False,1,3,Amidation,O=C(CCl)N1CCNC(c2cccnc2)C1,9194,1.0,O=C(O)CCl,253,c1cncc(C2CNCCN2)c1,6000,Amidation,O=C(CCl)N1CCN(C(=O)Cc2cncc(Cl)c2)C(c2cccnc2)C1,23388.0,1.0,O=C(CCl)N1CCNC(c2cccnc2)C1,9194.0,O=C(O)Cc1cncc(Cl)c1,22817.0,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,O=C(CO)Nc1cncc(CC(=O)N2CCN(C(=O)CCl)CC2c2cccnc2)c1,24075.0,0.1,NC(=O)CO,254.0,O=C(CCl)N1CCN(C(=O)Cc2cncc(Cl)c2)C(c2cccnc2)C1,23388.0
241,64589,O=C1CCc2cc(OCCCl)ccc21,PPUYXFRSZWNWAM-UHFFFAOYSA-N,56,False,1,1,Williamson_ether_synthesis,O=C1CCc2cc(OCCCl)ccc21,64589,1.0,O=C1CCc2cc(O)ccc21,64585,ClCCBr,87373,,,,,,,,,,,,,,,,
237,75493,O=C1C(Cl)=C(Cl)C(=O)c2cc(NC(=O)C3CNC3)ccc21,ZVOQRKGJLQHPST-UHFFFAOYSA-N,2,False,1,1,Amidation,O=C1C(Cl)=C(Cl)C(=O)c2cc(NC(=O)C3CNC3)ccc21,75493,1.0,O=C(O)C1CNC1,71686,Nc1ccc2c(c1)C(=O)C(Cl)=C(Cl)C2=O,75067,,,,,,,,,,,,,,,,
95,76100,CC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,XGEHJBAORVMZNC-UHFFFAOYSA-N,9,False,1,1,Amidation,CC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,76100,1.0,CC(=O)O,71591,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,76099,,,,,,,,,,,,,,,,
244,76100,CC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,XGEHJBAORVMZNC-UHFFFAOYSA-N,8,False,1,1,Amidation,CC(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,76100,1.0,CC(=O)O,71591,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,76099,,,,,,,,,,,,,,,,
245,76254,C=C(Cl)C(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,KGBVVWICIGVOAB-UHFFFAOYSA-N,18,False,1,1,Amidation,C=C(Cl)C(=O)N1CCC(C(=O)c2ccc3c(c2)CC(=O)N3)CC1,76254,1.0,C=C(Cl)C(=O)O,283,O=C1Cc2cc(C(=O)C3CCNCC3)ccc2N1,76099,,,,,,,,,,,,,,,,
